"filename", "language", "XML", "JavaScript", "CSS", "JavaScript JSX", "comment", "blank", "total"
"g:\blog\src\App.css", "CSS", 0, 0, 36, 0, 0, 5, 41
"g:\blog\src\App.js", "JavaScript", 0, 77, 0, 0, 0, 16, 93
"g:\blog\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"g:\blog\src\components\AccountIssue\Forget\index.jsx", "JavaScript JSX", 0, 0, 0, 181, 2, 18, 201
"g:\blog\src\components\AccountIssue\Login\index.jsx", "JavaScript JSX", 0, 0, 0, 152, 10, 13, 175
"g:\blog\src\components\AccountIssue\SignUp\index.jsx", "JavaScript JSX", 0, 0, 0, 258, 0, 19, 277
"g:\blog\src\components\AccountIssue\SnackBar\index.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 5, 31
"g:\blog\src\components\AccountIssue\index.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 4, 23
"g:\blog\src\components\Contents\Account\Settings\Item\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\components\Contents\Account\Settings\index.jsx", "JavaScript JSX", 0, 0, 0, 61, 0, 3, 64
"g:\blog\src\components\Contents\Account\index.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 1, 3
"g:\blog\src\components\Contents\AppStore\DetailPage\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\components\Contents\AppStore\index.jsx", "JavaScript JSX", 0, 0, 0, 127, 6, 4, 137
"g:\blog\src\components\Contents\Chat\MessageList\Header\index.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 3, 33
"g:\blog\src\components\Contents\Chat\MessageList\InputBox\index.jsx", "JavaScript JSX", 0, 0, 0, 81, 0, 12, 93
"g:\blog\src\components\Contents\Chat\MessageList\MessageList\SingleMessage\index.jsx", "JavaScript JSX", 0, 0, 0, 81, 5, 6, 92
"g:\blog\src\components\Contents\Chat\MessageList\MessageList\index.jsx", "JavaScript JSX", 0, 0, 0, 36, 1, 2, 39
"g:\blog\src\components\Contents\Chat\MessageList\index.jsx", "JavaScript JSX", 0, 0, 0, 29, 1, 5, 35
"g:\blog\src\components\Contents\Chat\SideBar\Contact\index.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 3, 24
"g:\blog\src\components\Contents\Chat\SideBar\Header\index.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 1, 6
"g:\blog\src\components\Contents\Chat\SideBar\index.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 9, 32
"g:\blog\src\components\Contents\Chat\index.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 7, 37
"g:\blog\src\components\Contents\Experimental\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\components\Contents\Forget\AddressForm.jsx", "JavaScript JSX", 0, 0, 0, 108, 0, 2, 110
"g:\blog\src\components\Contents\Forget\PaymentForm.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 2, 66
"g:\blog\src\components\Contents\Forget\Review.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 4, 89
"g:\blog\src\components\Contents\Forget\index.jsx", "JavaScript JSX", 0, 0, 0, 115, 0, 9, 124
"g:\blog\src\components\Contents\FriendActivities\Item\index.jsx", "JavaScript JSX", 0, 0, 0, 108, 0, 4, 112
"g:\blog\src\components\Contents\FriendActivities\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\components\Contents\FriendList\FriendIntro\index.jsx", "JavaScript JSX", 0, 0, 0, 141, 5, 19, 165
"g:\blog\src\components\Contents\FriendList\Friend\FriendItem\index.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 3, 29
"g:\blog\src\components\Contents\FriendList\Friend\index.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 4, 23
"g:\blog\src\components\Contents\FriendList\index.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 2, 24
"g:\blog\src\components\Contents\Introductions\FriendIntroductionCentered\index.jsx", "JavaScript JSX", 0, 0, 0, 173, 3, 29, 205
"g:\blog\src\components\Contents\Introductions\index.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 2, 4
"g:\blog\src\components\Contents\Item\Article\index.jsx", "JavaScript JSX", 0, 0, 0, 107, 0, 5, 112
"g:\blog\src\components\Contents\Item\Author\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\components\Contents\Item\ImageList\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\components\Contents\Item\Video\index.jsx", "JavaScript JSX", 0, 0, 0, 38, 5, 11, 54
"g:\blog\src\components\Contents\Item\index.jsx", "JavaScript JSX", 0, 0, 0, 56, 18, 11, 85
"g:\blog\src\components\Contents\LongVideos\Comments\Comment\index.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 7, 65
"g:\blog\src\components\Contents\LongVideos\Comments\index.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 7, 29
"g:\blog\src\components\Contents\LongVideos\LongVideo\index.jsx", "JavaScript JSX", 0, 0, 0, 36, 6, 13, 55
"g:\blog\src\components\Contents\LongVideos\index.jsx", "JavaScript JSX", 0, 0, 0, 79, 30, 22, 131
"g:\blog\src\components\Contents\NotFound\index.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 3
"g:\blog\src\components\Contents\SearchResult\SearchItem\index.jsx", "JavaScript JSX", 0, 0, 0, 51, 1, 5, 57
"g:\blog\src\components\Contents\SearchResult\index.jsx", "JavaScript JSX", 0, 0, 0, 32, 38, 3, 73
"g:\blog\src\components\Contents\Settings\ListItem\index.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 5, 102
"g:\blog\src\components\Contents\Settings\index.jsx", "JavaScript JSX", 0, 0, 0, 59, 41, 21, 121
"g:\blog\src\components\Contents\TextEditor\index.jsx", "JavaScript JSX", 0, 0, 0, 25, 1, 6, 32
"g:\blog\src\components\Contents\Trends\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\components\Contents\UploadAppInformation\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\components\Contents\UploadFile\index.jsx", "JavaScript JSX", 0, 0, 0, 74, 2, 23, 99
"g:\blog\src\components\Contents\UserInfo\index.jsx", "JavaScript JSX", 0, 0, 0, 164, 0, 14, 178
"g:\blog\src\components\Contents\VideoList\VideoCardRow\VideoCard\index.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 1, 30
"g:\blog\src\components\Contents\VideoList\VideoCardRow\index.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 3, 23
"g:\blog\src\components\Contents\VideoList\index.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 1, 22
"g:\blog\src\components\Contents\Videos\clips\index.jsx", "JavaScript JSX", 0, 0, 0, 35, 6, 10, 51
"g:\blog\src\components\Contents\Videos\index.jsx", "JavaScript JSX", 0, 0, 0, 14, 29, 7, 50
"g:\blog\src\components\Contents\index.jsx", "JavaScript JSX", 0, 0, 0, 68, 3, 5, 76
"g:\blog\src\components\Errors\EndpointNotAvailableError\index.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 3
"g:\blog\src\components\Errors\NetworkError\index.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 3
"g:\blog\src\components\Errors\NotFoundError\index.jsx", "JavaScript JSX", 0, 0, 0, 6, 1, 1, 8
"g:\blog\src\components\Errors\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\components\Footer\index.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 5, 49
"g:\blog\src\components\Header\FunctionDrawer\index.jsx", "JavaScript JSX", 0, 0, 0, 134, 19, 23, 176
"g:\blog\src\components\Header\MessageBox\SingleMessage\index.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 2, 24
"g:\blog\src\components\Header\MessageBox\index.jsx", "JavaScript JSX", 0, 0, 0, 83, 2, 7, 92
"g:\blog\src\components\Header\SearchAndSuggestion\SuggestionCategories\index.jsx", "JavaScript JSX", 0, 0, 0, 48, 8, 9, 65
"g:\blog\src\components\Header\SearchAndSuggestion\SuggestionItem\index.jsx", "JavaScript JSX", 0, 0, 0, 48, 2, 8, 58
"g:\blog\src\components\Header\SearchAndSuggestion\index.jsx", "JavaScript JSX", 0, 0, 0, 17, 1, 7, 25
"g:\blog\src\components\Header\index.jsx", "JavaScript JSX", 0, 0, 0, 491, 27, 66, 584
"g:\blog\src\components\Notifications\index.jsx", "JavaScript JSX", 0, 0, 0, 3, 6, 1, 10
"g:\blog\src\components\redux\UserDetails.js", "JavaScript", 0, 25, 0, 0, 1, 4, 30
"g:\blog\src\components\redux\searchResult.js", "JavaScript", 0, 22, 0, 0, 1, 4, 27
"g:\blog\src\components\redux\store.js", "JavaScript", 0, 9, 0, 0, 0, 1, 10
"g:\blog\src\components\redux\suspendChat.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\index.css", "CSS", 0, 0, 12, 0, 0, 2, 14
"g:\blog\src\index.js", "JavaScript", 0, 14, 0, 0, 4, 3, 21
"g:\blog\src\logo.svg", "XML", 1, 0, 0, 0, 0, 0, 1
"g:\blog\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 2, 14
"g:\blog\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 4, 1, 6
"g:\blog\src\util\ArticleUtil.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\util\LinkedList.js", "JavaScript", 0, 203, 0, 0, 102, 37, 342
"g:\blog\src\util\LinkedListNode.js", "JavaScript", 0, 35, 0, 0, 38, 8, 81
"g:\blog\src\util\SimplePictureUtil.js", "JavaScript", 0, 2, 0, 0, 0, 5, 7
"g:\blog\src\util\VideoUtil.js", "JavaScript", 0, 76, 0, 0, 22, 14, 112
"g:\blog\src\util\ioUtil.js", "JavaScript", 0, 267, 0, 0, 0, 22, 289
"g:\blog\src\util\io_utils\AccountUtil.js", "JavaScript", 0, 136, 0, 0, 13, 19, 168
"g:\blog\src\util\io_utils\EncryptionUtil.js", "JavaScript", 0, 5, 0, 0, 0, 3, 8
"g:\blog\src\util\io_utils\MessageUtil.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"g:\blog\src\util\io_utils\SearchUtil.js", "JavaScript", 0, 91, 0, 0, 16, 21, 128
"g:\blog\src\util\pictureUtil.js", "JavaScript", 0, 69, 0, 0, 4, 6, 79
"Total", "-", 1, 1051, 48, 4015, 484, 691, 6290